Team Name,Level,Affiliation,Twitter,Website
AAA Baseball,AAA,,TripleABaseball,http://www.tripleabaseball.com/Welcome.jsp
Aberdeen,A-,Baltimore Orioles,IronBirds,http://www.milb.com/index.jsp?sid=t488
Acereros de Monclova,AAA,Mexican League,AcererosOficial,http://www.milb.com/index.jsp?sid=t560
Akron,AA,Cleveland Indians,AkronRubberDuck,http://www.milb.com/index.jsp?sid=t402
Albuquerque,AAA,Colorado Rockies,ABQTopes,http://www.milb.com/index.jsp?sid=t342
Altoona,AA,Pittsburgh Pirates,AltoonaCurve,http://www.milb.com/index.jsp?sid=t452
Angels,Rk,Los Angeles Angels,,http://www.milb.com/index.jsp?sid=t404
Angels,Frk,Los Angeles Angels,,http://www.milb.com/index.jsp?sid=t600
Arizona Diamondbacks,MLB,,Dbacks,http://m.dbacks.mlb.com/
Arizona Fall League,Rk,,MLBazfallleague,http://mlb.mlb.com/mlb/events/afl/index.jsp
Arkansas,AA,Seattle Mariners,ARTravs,http://www.milb.com/index.jsp?sid=t574
Asheville,A,Colorado Rockies,GoTourists,http://www.milb.com/index.jsp?sid=t573
Astros,Rk,Houston Astros,,http://www.milb.com/index.jsp?sid=t1998
Astros Blue,Frk,Houston Astros,,http://www.milb.com/index.jsp?sid=t601
Astros Orange,Frk,Houston Astros,,http://www.milb.com/index.jsp?sid=t5005
Athletics,Rk,Oakland Athletics,,http://www.milb.com/index.jsp?sid=t405
Athletics,Frk,Oakland Athletics,,http://www.milb.com/index.jsp?sid=t602
Atlanta Braves,MLB,,Braves,http://m.braves.mlb.com/
Auburn,A-,Washington Nationals,Doubledays,http://www.milb.com/index.jsp?sid=t458
Augusta,A,San Francisco Giants,GreenJackets,http://www.milb.com/index.jsp?sid=t478
Baltimore Orioles,MLB,,Orioles,http://m.orioles.mlb.com/
Batavia,A-,Miami Marlins,BataviaMuckdogs,http://www.milb.com/index.jsp?sid=t511
Beloit,A,Oakland Athletics,BeloitSnappers,http://www.milb.com/index.jsp?sid=t554
Benjamin Hills Blog,MiLB,,BensBiz,https://bensbiz.mlblogs.com/
Billings,Rk,Cincinnati Reds,Mustangs,http://www.milb.com/index.jsp?sid=t513
Biloxi,AA,Milwaukee Brewers,BiloxiShuckers,http://www.milb.com/index.jsp?sid=t5015
Binghamton,AA,New York Mets,RumblePoniesBB,http://www.milb.com/index.jsp?sid=t505
Birmingham,AA,Chicago White Sox,BhamBarons,http://www.milb.com/index.jsp?sid=t247
Blue Jays,Rk,Toronto Blue Jays,,http://www.milb.com/index.jsp?sid=t1390
Blue Jays,Frk,Toronto Blue Jays,,http://www.milb.com/index.jsp?sid=t604
Bluefield,Rk,Toronto Blue Jays,BluefieldJays,http://www.milb.com/index.jsp?sid=t517
Boise,A-,Colorado Rockies,BoiseHawks,http://www.milb.com/index.jsp?sid=t480
Boston Red Sox,MLB,,RedSox,http://m.redsox.mlb.com/
Bowie,AA,Baltimore Orioles,BowieBaysox,http://www.milb.com/index.jsp?sid=t418
Bowling Green,A,Tampa Bay Rays,BGHotRods,http://www.milb.com/index.jsp?sid=t2498
Bradenton,A+,Pittsburgh Pirates,The_Marauders,http://www.milb.com/index.jsp?sid=t3390
Braves,Rk,Atlanta Braves,,http://www.milb.com/index.jsp?sid=t464
Braves,Frk,Atlanta Braves,,http://www.milb.com/index.jsp?sid=t605
Bravos de Leon,AAA,Mexican League,NacimosBravos,http://www.milb.com/index.jsp?sid=t434
Brewers,Rk,Milwaukee Brewers,,http://www.milb.com/index.jsp?sid=t406
Brewers,Frk,Milwaukee Brewers,,http://www.milb.com/index.jsp?sid=t607
Bristol,Rk,Pittsburgh Pirates,BriBucs,http://www.milb.com/index.jsp?sid=t557
Brooklyn,A-,New York Mets,BKCyclones,http://www.milb.com/index.jsp?sid=t453
Buffalo,AAA,Toronto Blue Jays,BuffaloBisons,http://www.milb.com/index.jsp?sid=t422
Buies Creek,A+,Houston Astros,bcreekastros,http://www.milb.com/index.jsp?sid=t3712
Burlington,Rk,Kansas City Royals,BRoyalsKC,http://www.milb.com/index.jsp?sid=t483
Burlington,A,Los Angeles Angels,BurlingtonBees,http://www.milb.com/index.jsp?sid=t420
Cardinals,Rk,St. Louis Cardinals,,http://www.milb.com/index.jsp?sid=t1370
Cardinals,Frk,St. Louis Cardinals,,http://www.milb.com/index.jsp?sid=t608
Carolina,A+,Milwaukee Brewers,CarolinaMudcats,http://www.milb.com/index.jsp?sid=t249
Cedar Rapids,A,Minnesota Twins,CRKernels,http://www.milb.com/index.jsp?sid=t492
Charleston,A,New York Yankees,ChasRiverDogs,http://www.milb.com/index.jsp?sid=t233
Charlotte,A+,Tampa Bay Rays,StoneCrabs,http://www.milb.com/index.jsp?sid=t2730
Charlotte,AAA,Chicago White Sox,KnightsBaseball,http://www.milb.com/index.jsp?sid=t494
Chattanooga,AA,Minnesota Twins,ChattLookouts,http://www.milb.com/index.jsp?sid=t498
Chicago Cubs,MLB,,Cubs,http://m.cubs.mlb.com/
Chicago White Sox,MLB,,whitesox,http://m.redsox.mlb.com/
Cincinnati Reds,MLB,,Reds,http://m.reds.mlb.com/
Clearwater,A+,Philadelphia Phillies,Threshers,http://www.milb.com/index.jsp?sid=t566
Cleveland Indians,MLB,,Indians,http://m.indians.mlb.com/
Clinton,A,Seattle Mariners,LumberKings,http://www.milb.com/index.jsp?sid=t500
Colorado Rockies,MLB,,Rockies,http://m.rockies.mlb.com/
Colorado Springs,AAA,Milwaukee Brewers,skysox,http://www.milb.com/index.jsp?sid=t551
Columbia,A,New York Mets,ColaFireflies,http://www.milb.com/index.jsp?sid=t3705
Columbus,AAA,Cleveland Indians,CLBClippers,http://www.milb.com/index.jsp?sid=t445
Connecticut,A-,Detroit Tigers,thecttigers,http://www.milb.com/index.jsp?sid=t571
Corpus Christi,AA,Houston Astros,cchooks,http://www.milb.com/index.jsp?sid=t482
Cubs,Rk,Chicago Cubs,,http://www.milb.com/index.jsp?sid=t407
Cubs 1,Frk,Chicago Cubs,,http://www.milb.com/index.jsp?sid=t609
Cubs 2,Frk,Chicago Cubs,,http://www.milb.com/index.jsp?sid=t2270
Danville,Rk,Atlanta Braves,DanvilleBraves,http://www.milb.com/index.jsp?sid=t429
Dayton,A,Cincinnati Reds,DragonsBaseball,http://www.milb.com/index.jsp?sid=t459
Daytona,A+,Cincinnati Reds,daytonatortugas,http://www.milb.com/index.jsp?sid=t450
Delmarva,A,Baltimore Orioles,shorebirds,http://www.milb.com/index.jsp?sid=t548
Detroit Tigers,MLB,,tigers,http://m.indians.mlb.com/
Diablos Rojos del Mexico,AAA,Mexican League,DiablosRojosMX,http://www.milb.com/index.jsp?sid=t532
Diamondbacks,Rk,Arizona Diamondbacks,,http://www.milb.com/index.jsp?sid=t1991
Diamondbacks 1,Frk,Arizona Diamondbacks,,http://www.milb.com/index.jsp?sid=t610
Diamondbacks 2,Frk,Arizona Diamondbacks,,http://www.milb.com/index.jsp?sid=t610
Dodgers,Rk,Los Angeles Dodgers,,http://www.milb.com/index.jsp?sid=t2690
Dodgers 1,Frk,Los Angeles Dodgers,,http://www.milb.com/index.jsp?sid=t611
Dodgers 2,Frk,Los Angeles Dodgers,,http://www.milb.com/index.jsp?sid=t612
Down East,A+,Texas Rangers,GoWoodDucks,http://www.milb.com/index.jsp?sid=t485
Dunedin,A+,Toronto Blue Jays,DunedinBlueJays,http://www.milb.com/index.jsp?sid=t424
Durham,AAA,Tampa Bay Rays,DurhamBulls,http://www.milb.com/index.jsp?sid=t234
Durham Bulls PR,AAA,Tampa Bay Rays,DBullsMedia,https://www.milb.com/durham
Eastern League,AA,,EasternLeague,https://www.milb.com/eastern
El Paso,AAA,San Diego Padres,epchihuahuas,http://www.milb.com/index.jsp?sid=t4904
Elizabethtown,Rk,Minnesota Twins,ETwinsBaseball,http://www.milb.com/index.jsp?sid=t576
Erie,AA,Detroit Tigers,erie_seawolves,http://www.milb.com/index.jsp?sid=t106
Eugene,A-,Chicago Cubs,EugeneEmeralds,http://www.milb.com/index.jsp?sid=t461
Everett,A-,Seattle Mariners,EverettAquaSox,http://www.milb.com/index.jsp?sid=t403
Florida,A+,Atlanta Braves,FireFrogsBB,http://www.milb.com/index.jsp?sid=t503
Florida State League,A+,,FloridaStateLg,https://www.milb.com/florida-state
Fort Myers,A+,Minnesota Twins,MiracleBaseball,http://www.milb.com/index.jsp?sid=t509
Fort Wayne,A,San Diego Padres,TinCaps,http://www.milb.com/index.jsp?sid=t584
Frederick,A+,Baltimore Orioles,FrederickKeys,http://www.milb.com/index.jsp?sid=t493
Fresno,AAA,Houston Astros,FresnoGrizzlies,http://www.milb.com/index.jsp?sid=t259
Frisco,AA,Texas Rangers,RidersBaseball,http://www.milb.com/index.jsp?sid=t540
Generales de Durango,AAA,Mexican League,GeneralesdDgo,http://www.milb.com/index.jsp?sid=t4444
Giants,Rk,San Francisco Giants,,http://www.milb.com/index.jsp?sid=t408
Giants,Frk,San Francisco Giants,,http://www.milb.com/index.jsp?sid=t615
Grand Junction,Rk,Colorado Rockies,GJRockies,http://www.milb.com/index.jsp?sid=t4364
Great Falls,Rk,Chicago White Sox,gfvoyagers,http://www.milb.com/index.jsp?sid=t581
Great Lakes,A,Los Angeles Dodgers,greatlakesloons,http://www.milb.com/index.jsp?sid=t456
Greensboro,A,Miami Marlins,GSOHoppers,http://www.milb.com/index.jsp?sid=t477
Greenville,Rk,Houston Astros,,http://www.milb.com/index.jsp?sid=t413
Greenville,A,Boston Red Sox,GreenvilleDrive,http://www.milb.com/index.jsp?sid=t428
Guerreros de Oaxaca,AAA,Mexican League,GuerrerosOax,http://www.milb.com/index.jsp?sid=t579
Gwinnett,AAA,Atlanta Braves,GoStripers,http://www.milb.com/index.jsp?sid=t431
Hagerstown,A,Washington Nationals,HagerstownSuns,http://www.milb.com/index.jsp?sid=t563
Harrisburg,AA,Washington Nationals,HbgSenators,http://www.milb.com/index.jsp?sid=t547
Hartford,AA,Colorado Rockies,GoYardGoats,http://www.milb.com/index.jsp?sid=t538
Helena,Rk,Milwaukee Brewers,helenabrewers,http://www.milb.com/index.jsp?sid=t433
Hickory,A,Texas Rangers,HickoryCrawdads,http://www.milb.com/index.jsp?sid=t448
Hillsboro,A-,Arizona Diamondbacks,HillsboroHops,http://www.milb.com/index.jsp?sid=t419
Houston Astros,MLB,,astros,http://m.astros.mlb.com/
Hudson Valley,A-,Tampa Bay Rays,HVRenegades,http://www.milb.com/index.jsp?sid=t537
Idaho Falls,Rk,Kansas City Royals,ifchukars,http://www.milb.com/index.jsp?sid=t444
Indianapolis,AAA,Pittsburgh Pirates,indyindians,http://www.milb.com/index.jsp?sid=t484
Indians,Rk,Cleveland Indians,,http://www.milb.com/index.jsp?sid=t2770
Indians,Frk,Cleveland Indians,,http://www.milb.com/index.jsp?sid=t616
Inland Empire,A+,Los Angeles Angels,66ersBaseball,http://www.milb.com/index.jsp?sid=t401
Iowa,AAA,Chicago Cubs,IowaCubs,http://www.milb.com/index.jsp?sid=t451
Jackson,AA,Arizona Diamondbacks,jacksongenerals,http://www.milb.com/index.jsp?sid=t104
Jacksonville,AA,Miami Marlins,JaxShrimp,http://www.milb.com/index.jsp?sid=t564
Johnson City,Rk,St. Louis Cardinals,JC_Cardinals,http://www.milb.com/index.jsp?sid=t438
Jupiter,A+,Miami Marlins,GoHammerheads,http://www.milb.com/index.jsp?sid=t479
Kane County,A,Arizona Diamondbacks,KCCougars,http://www.milb.com/index.jsp?sid=t446
Kannapolis,A,Chicago White Sox,Intimidators,http://www.milb.com/index.jsp?sid=t487
Kansas City Royals,MLB,,Royals,http://m.royals.mlb.com/
Kingsport,Rk,New York Mets,Kingsport_Mets,http://www.milb.com/index.jsp?sid=t506
Lake County,A,Cleveland Indians,LCCaptains,http://www.milb.com/index.jsp?sid=t437
Lake Elsinore,A+,San Diego Padres,Storm_Baseball,http://www.milb.com/index.jsp?sid=t103
Lakeland,A+,Detroit Tigers,LkdFlyingTigers,http://www.milb.com/index.jsp?sid=t570
Lakewood,A,Philadelphia Phillies,BlueClaws,http://www.milb.com/index.jsp?sid=t427
Lancaster,A+,Colorado Rockies,JetHawks,http://www.milb.com/index.jsp?sid=t491
Lansing,A,Toronto Blue Jays,LansingLugnuts,http://www.milb.com/index.jsp?sid=t499
Las Vegas,AAA,New York Mets,LasVegas51s,http://www.milb.com/index.jsp?sid=t400
League of Mexican Baseball,AAA,Mexican League,LigaMexBeis,http://www.milb.com/index.jsp?sid=l125
Lehigh Valley,AAA,Philadelphia Phillies,IronPigs,http://www.milb.com/index.jsp?sid=t1410
Leigh Valley Iron Pigs PR,AA,Philadelphia Phillies,PorkCenter,https://www.milb.com/lehigh-valley
Leones de Yucatan,AAA,Mexican League,Leonesdeyuc,http://www.milb.com/index.jsp?sid=t496
Lexington,A,Kansas City Royals,LexingtonLegend,http://www.milb.com/index.jsp?sid=t495
Los Angeles Angels,MLB,,Angels,http://m.angels.mlb.com/
Los Angeles Dodgers,MLB,,Dodgers,http://m.dodgers.mlb.com/
Louisville,AAA,Cincinnati Reds,LouisvilleBats,http://www.milb.com/index.jsp?sid=t416
Lowell,A-,Boston Red Sox,LowellSpinners,http://www.milb.com/index.jsp?sid=t558
Lynchburg,A+,Cleveland Indians,LynHillcats,http://www.milb.com/index.jsp?sid=t481
Mahoning Valley,A-,Cleveland Indians,mvscrappers,http://www.milb.com/index.jsp?sid=t545
Mariners,Rk,Seattle Mariners,,http://www.milb.com/index.jsp?sid=t409
Mariners,Frk,Seattle Mariners,,http://www.milb.com/index.jsp?sid=t618
Marlins,Rk,Miami Marlins,,http://www.milb.com/index.jsp?sid=t467
Marlins,Frk,Miami Marlins,,http://www.milb.com/index.jsp?sid=t619
Memphis,AAA,St. Louis Cardinals,memphisredbirds,http://www.milb.com/index.jsp?sid=t235
Mets,Rk,New York Mets,,http://www.milb.com/index.jsp?sid=t468
Mets 1,Frk,New York Mets,,http://www.milb.com/index.jsp?sid=t620
Mets 2,Frk,New York Mets,,http://www.milb.com/index.jsp?sid=t2117
Miami Marlins,MLB,,Marlins,http://m.marlins.mlb.com/
Midland,AA,Oakland Athletics,RockHounds,http://www.milb.com/index.jsp?sid=t237
MiLB,MiLB,,MiLB,https://www.milb.com/
MILB,MiLB,,MiLB_PR,https://www.milb.com/
MiLB Baseball,MiLB,,MiLBpromos,https://www.milb.com/
Milwaukee Brewers,MLB,,Brewers,http://m.brewers.mlb.com/
Minnesota Twins,MLB,,Twins,http://m.twins.mlb.com/
Mississippi,AA,Atlanta Braves,mbraves,http://www.milb.com/index.jsp?sid=t430
Missoula,Rk,Arizona Diamondbacks,ospreybaseball,http://www.milb.com/index.jsp?sid=t518
MLB Advanced Media,MiLB,,mlbam,http://www.mlb.com/careers/mlbam/
Mobile,AA,Los Angeles Angels,Mobile_BayBears,http://www.milb.com/index.jsp?sid=t417
Modesto,A+,Seattle Mariners,ModestoNuts,http://www.milb.com/index.jsp?sid=t515
Montgomery,AA,Tampa Bay Rays,BiscuitBaseball,http://www.milb.com/index.jsp?sid=t421
Myrtle Beach,A+,Chicago Cubs,Pelicanbaseball,http://www.milb.com/index.jsp?sid=t521
Nashville,AAA,Oakland Athletics,nashvillesounds,http://www.milb.com/index.jsp?sid=t556
Nationals,Rk,Washington Nationals,,http://www.milb.com/index.jsp?sid=t466
Nationals,Frk,Washington Nationals,,http://www.milb.com/index.jsp?sid=t1270
New Hampshire,AA,Toronto Blue Jays,FisherCats,http://www.milb.com/index.jsp?sid=t463
New Orleans,AAA,Miami Marlins,cakesbaseball,http://www.milb.com/index.jsp?sid=t588
New York Mets,MLB,,Mets,http://m.mets.mlb.com/
New York Pennsylvania League,A-,New York P,nypennleague,https://www.milb.com/new-york-penn
New York Yankees,MLB,,Yankees,http://m.yankees.mlb.com/
Norfolk,AAA,Baltimore Orioles,NorfolkTides,http://www.milb.com/index.jsp?sid=t568
Northwest Arkansas,AA,Kansas City Royals,nwanaturals,http://www.milb.com/index.jsp?sid=t1350
Oakland Athletics,MLB,,Athletics,http://m.athletics.mlb.com/
Ogden,Rk,Los Angeles Dodgers,ogdenraptors,http://www.milb.com/index.jsp?sid=t530
Oklahoma City,AAA,Los Angeles Dodgers,okc_dodgers,http://www.milb.com/index.jsp?sid=t238
Olmecas de Tabasco,AAA,Mexican League,OlmecasTabasco,http://www.milb.com/index.jsp?sid=t442
Omaha,AAA,Kansas City Royals,OMAStormChasers,http://www.milb.com/index.jsp?sid=t541
Orem,Rk,Los Angeles Angels,OremOwlz,http://www.milb.com/index.jsp?sid=t519
Orioles,Rk,Baltimore Orioles,,http://www.milb.com/index.jsp?sid=t599
Orioles,Frk,Baltimore Orioles,,http://www.milb.com/index.jsp?sid=t621
Padres,Frk,San Diego Padres,,http://www.milb.com/index.jsp?sid=t622
Padres 1,Rk,San Diego Padres,,http://www.milb.com/index.jsp?sid=t410
Padres 2,Rk,San Diego Padres,,http://www.milb.com/index.jsp?sid=t5316
Palm Beach,A+,St. Louis Cardinals,GoPBCardinals,http://www.milb.com/index.jsp?sid=t279
Pawtucket,AAA,Boston Red Sox,PawSox,http://www.milb.com/index.jsp?sid=t533
Pensacola,AA,Cincinnati Reds,BlueWahoosBBall,http://www.milb.com/index.jsp?sid=t4124
Peoria,A,St. Louis Cardinals,peoriachiefs,http://www.milb.com/index.jsp?sid=t443
Pericos de Puebla,AAA,Mexican League,Pericos_Oficial,http://www.milb.com/index.jsp?sid=t520
Philadelphia Phillies,MLB,,Phillies,http://m.phillies.mlb.com/
Phillies,Rk,Philadelphia Phillies,,http://www.milb.com/index.jsp?sid=t469
Phillies Red,Frk,Philadelphia Phillies,,http://www.milb.com/index.jsp?sid=t623
Phillies White,Frk,Philadelphia Phillies,,http://www.milb.com/index.jsp?sid=t5085
Piratas de Campeche,AAA,Mexican League,piratascampeche,http://www.milb.com/index.jsp?sid=t523
Pirates,Rk,Pittsburgh Pirates,,http://www.milb.com/index.jsp?sid=t470
Pirates,Frk,Pittsburgh Pirates,,http://www.milb.com/index.jsp?sid=t624
Pittsburgh Pirates,MLB,,Pirates,http://m.pirates.mlb.com/
Portland,AA,Boston Red Sox,PortlandSeaDogs,http://www.milb.com/index.jsp?sid=t546
Potomac,A+,Washington Nationals,PNats42,http://www.milb.com/index.jsp?sid=t436
Princeton,Rk,Tampa Bay Rays,PrincetonRays,http://www.milb.com/index.jsp?sid=t455
Pulaski,Rk,New York Yankees,pulaskiyanks,http://www.milb.com/index.jsp?sid=t425
Quad Cities,A,Houston Astros,QCRiverBandits,http://www.milb.com/index.jsp?sid=t565
Rancho Cucamonga,A+,Los Angeles Dodgers,RCQuakes,http://www.milb.com/index.jsp?sid=t526
Rangers,Rk,Texas Rangers,,http://www.milb.com/index.jsp?sid=t411
Rangers 1,Frk,Texas Rangers,,http://www.milb.com/index.jsp?sid=t625
Rangers 2,Frk,Texas Rangers,,http://www.milb.com/index.jsp?sid=t2413
Rays,Rk,Tampa Bay Rays,,http://www.milb.com/index.jsp?sid=t2003
Rays 1,Frk,Tampa Bay Rays,,http://www.milb.com/index.jsp?sid=t1611
Rays 2,Frk,Tampa Bay Rays,,http://www.milb.com/index.jsp?sid=t5086
Reading,AA,Philadelphia Phillies,ReadingFightins,http://www.milb.com/index.jsp?sid=t522
Red Sox,Rk,Boston Red Sox,,http://www.milb.com/index.jsp?sid=t471
Red Sox,Frk,Boston Red Sox,,http://www.milb.com/index.jsp?sid=t626
Reds,Rk,Cincinnati Reds,,http://www.milb.com/index.jsp?sid=t3430
Reds,Frk,Cincinnati Reds,,http://www.milb.com/index.jsp?sid=t628
Reno,AAA,Arizona Diamondbacks,Aces,http://www.milb.com/index.jsp?sid=t2310
Reno Aces PR,AAA,,RenoAces_PR,https://www.milb.com/reno
Richmond,AA,San Francisco Giants,GoSquirrels,http://www.milb.com/index.jsp?sid=t3410
Rieleros de Aguascalientes,AAA,Mexican League,RIELEROSdeAgs,http://www.milb.com/index.jsp?sid=t528
Rochester,AAA,Minnesota Twins,RocRedWings,http://www.milb.com/index.jsp?sid=t534
Rockies,Frk,Colorado Rockies,,http://www.milb.com/index.jsp?sid=t629
Rojos,Frk,Cincinnati Reds,,http://www.milb.com/index.jsp?sid=t2412
Rojos del Aguila de Veracruz,AAA,Mexican League,RojosdelAguila,http://www.rojosdelaguila.com/
Rome,A,Atlanta Braves,TheRomeBraves,http://www.milb.com/index.jsp?sid=t432
Round Rock,AAA,Texas Rangers,RRExpress,http://www.milb.com/index.jsp?sid=t102
Royals,Rk,Kansas City Royals,,http://www.milb.com/index.jsp?sid=t412
Royals,Frk,Kansas City Royals,,http://www.milb.com/index.jsp?sid=t630
Sacramento,AAA,San Francisco Giants,RiverCats,http://www.milb.com/index.jsp?sid=t105
Salem,A+,Boston Red Sox,salemredsox,http://www.milb.com/index.jsp?sid=t414
Salem-Keizer,A-,San Francisco Giants,SKVolcanoes,http://www.milb.com/index.jsp?sid=t578
Salt Lake,AAA,Los Angeles Angels,SaltLakeBees,http://www.milb.com/index.jsp?sid=t561
San Antonio,AA,San Diego Padres,missionsmilb,http://www.milb.com/index.jsp?sid=t510
San Diego Padres,MLB,,Padres,http://m.padres.mlb.com/
San Francisco Giants,MLB,,SFGiants,http://m.giants.mlb.com/
San Jose,A+,San Francisco Giants,SJGiants,http://www.milb.com/index.jsp?sid=t476
Saraperos de Saltillo,AAA,Mexican League,OficialSarapero,http://www.milb.com/index.jsp?sid=t502
Scranton/Wilkes-Barre,AAA,New York Yankees,swbrailriders,http://www.milb.com/index.jsp?sid=t531
Seattle Mariners,MLB,,Mariners,http://m.mariners.mlb.com/
South Bend,A,Chicago Cubs,SBCubs,http://www.milb.com/index.jsp?sid=t550
Southern League Baseball,AA,,SLeagueBaseball,https://www.milb.com/southern
Spokane,A-,Texas Rangers,spokaneindians,http://www.milb.com/index.jsp?sid=t486
Springfield,AA,St. Louis Cardinals,Sgf_Cardinals,http://www.milb.com/index.jsp?sid=t440
St. Louis Cardinals,MLB,,Cardinals,http://m.cardinals.mlb.com/
St. Lucie,A+,New York Mets,stluciemets,http://www.milb.com/index.jsp?sid=t507
State College,A-,St. Louis Cardinals,SCSpikes,http://www.milb.com/index.jsp?sid=t1174
Staten Island,A-,New York Yankees,SIYanks,http://www.milb.com/index.jsp?sid=t586
Stockton,A+,Oakland Athletics,stocktonports,http://www.milb.com/index.jsp?sid=t524
Sultanes de Monterrey,AAA,Mexican League,SultanesOficial,http://www.milb.com/index.jsp?sid=t562
Syracuse,AAA,Washington Nationals,SyracuseChiefs,http://www.milb.com/index.jsp?sid=t552
Tacoma,AAA,Seattle Mariners,RainiersLand,http://www.milb.com/index.jsp?sid=t529
Tampa,A+,New York Yankees,TampaTarpons,http://www.milb.com/index.jsp?sid=t587
Tampa Bay Rays,MLB,,RaysBaseball,http://m.rays.mlb.com/
Tennessee,AA,Chicago Cubs,smokiesbaseball,http://www.milb.com/index.jsp?sid=t553
Texas Rangers,MLB,,Rangers,http://m.rangers.mlb.com/
Tigers,Frk,Detroit Tigers,,http://www.milb.com/index.jsp?sid=t631
Tigers East,Rk,Detroit Tigers,,http://www.milb.com/index.jsp?sid=t473
Tigers West,Rk,Detroit Tigers,,http://www.milb.com/index.jsp?sid=t5071
Tigres de Quintana Roo,AAA,Mexican League,tigresqroficial?lang=en,http://www.milb.com/index.jsp?sid=t569
Toledo,AAA,Detroit Tigers,MudHens,http://www.milb.com/index.jsp?sid=t512
Toronto Blue Jays,MLB,,BlueJays,http://m.bluejays.mlb.com/
Toros de Tijuana,AAA,Mexican League,TorosDeTijuana,http://www.milb.com/index.jsp?sid=t5010
Trenton,AA,New York Yankees,TrentonThunder,http://www.milb.com/index.jsp?sid=t567
Tri-City,A-,Houston Astros,ValleyCats,http://www.milb.com/index.jsp?sid=t577
Tri-City,A-,San Diego Padres,TC_DustDevils,http://www.milb.com/index.jsp?sid=t460
Tulsa,AA,Los Angeles Dodgers,TulsaDrillers,http://www.milb.com/index.jsp?sid=t260
Twins,Rk,Minnesota Twins,,http://www.milb.com/index.jsp?sid=t474
Twins,Frk,Minnesota Twins,,http://www.milb.com/index.jsp?sid=t632
Vancouver,A-,Toronto Blue Jays,vancanadians,http://www.milb.com/index.jsp?sid=t435
Vaqueros Laguna,AAA,Mexican League,RedVaqueros,http://www.milb.com/index.jsp?sid=t447
Vermont,A-,Oakland Athletics,VTLakeMonsters,http://www.milb.com/index.jsp?sid=t462
Visalia,A+,Arizona Diamondbacks,VisaliaRawhide,http://www.milb.com/index.jsp?sid=t516
Washington Nationals,MLB,,Nationals,http://m.nationals.mlb.com/
West Michigan,A,Detroit Tigers,wmwhitecaps,http://www.milb.com/index.jsp?sid=t582
West Virginia,A-,Pittsburgh Pirates,WVBlackBears,http://www.milb.com/index.jsp?sid=t5020
West Virginia,A,Pittsburgh Pirates,wv_power,http://www.milb.com/index.jsp?sid=t525
White Sox,Rk,Chicago White Sox,,http://www.milb.com/index.jsp?sid=t1997
White Sox,Frk,Chicago White Sox,,http://www.milb.com/index.jsp?sid=t633
Williamsport,A-,Philadelphia Phillies,crosscutters,http://www.milb.com/index.jsp?sid=t449
Wilmington,A+,Kansas City Royals,WilmBlueRocks,http://www.milb.com/index.jsp?sid=t426
Winston-Salem,A+,Chicago White Sox,WSDashBaseball,http://www.milb.com/index.jsp?sid=t580
Wisconsin,A,Milwaukee Brewers,TimberRattlers,http://www.milb.com/index.jsp?sid=t572
Yankees,Frk,New York Yankees,,http://www.milb.com/index.jsp?sid=t634
Yankees East,Rk,New York Yankees,,http://www.milb.com/index.jsp?sid=t475
Yankees West,Rk,New York Yankees,,http://www.milb.com/index.jsp?sid=t4725
